Date_Time,Lamp_State,Fan_State,Bathroom_Humidity,Bathroom_Temperature,Bedroom1_Humidity,Bedroom1_Temperature,Kitchen_Humidity,Kitchen_Temperature,Diningroom_Humidity,Diningroom_Temperature,Livingroom1_Humidity,Livingroom1_Temperature,Livingroom2_Humidity,Livingroom2_Temperature,Bedroom2_Humidity,Bedroom2_Temperature,Bedroom2-Bathroom_Door,Bedroom1-Livingroom_Door,Livingroom-Kitchen_Door,Livingroom-Bathroom_Door,Bedroom1-Bathroom_Door,N/A(Nothing),Bedroom1-Back_Door,Livingroom-Front_Door,Bedroom1-2ft_Window,Livingroom-2ft_Window,Bedroom2-2ft_Window,Kitchen-2ft_Window,Bedroom2-3ft_Window,Livingroom-3ft_Window,Kitchen-3ft_Window,Bedroom1-3ft_Window
2019-07-12-09:03:29.400477,1,1,73,69.8,68,71.6,68,69.8,66,69.8,65,69.8,65,71.6,59,73.4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
2019-07-12-09:04:35.730307,1,1,72,71.6,61,77,67,69.8,66,69.8,63,71.6,160,51.8,60,73.4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
2019-07-12-09:05:44.630804,1,1,71,73.4,56,80.6,67,69.8,161,50,63,73.4,62,73.4,59,73.4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
2019-07-12-09:06:50.961603,1,1,68,75.2,52,82.4,68,69.8,67,69.8,62,73.4,62,73.4,60,73.4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
2019-07-12-09:08:02.361559,1,1,68,75.2,49,84.2,66,71.6,67,69.8,62,73.4,61,75.2,60,73.4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
2019-07-12-09:09:16.312316,1,1,67,75.2,47,86,69,71.6,67,69.8,61,75.2,61,75.2,61,73.4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2019-07-12-09:10:40.394233,1,1,67,77,45,87.8,66,71.6,65,71.6,60,75.2,61,75.2,61,73.4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2019-07-12-09:11:56.838086,1,1,66,77,43,89.6,66,71.6,69,71.6,60,75.2,61,75.2,60,73.4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2019-07-12-09:13:00.649880,1,1,65,78.8,41,89.6,69,71.6,68,69.8,59,75.2,60,75.2,60,73.4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2019-07-12-09:14:09.524909,1,1,64,78.8,41,91.4,70,71.6,66,71.6,58,75.2,60,75.2,61,73.4,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1
2019-07-12-09:15:13.327766,1,1,63,78.8,39,91.4,70,71.6,69,71.6,58,77,60,77,61,75.2,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1
2019-07-12-09:16:19.650836,1,1,62,78.8,38,91.4,71,71.6,70,71.6,57,77,59,77,60,75.2,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1
2019-07-12-09:17:43.750522,1,1,61,78.8,38,91.4,68,71.6,66,71.6,57,77,59,77,60,75.2,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1
2019-07-12-09:18:50.089302,1,1,61,78.8,37,93.2,71,71.6,70,71.6,57,77,59,77,60,75.2,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1
2019-07-12-09:19:53.892781,1,1,61,80.6,35,93.2,70,71.6,70,71.6,54,77,56,77,59,75.2,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1
2019-07-12-09:21:05.281693,1,1,60,80.6,35,93.2,70,71.6,69,71.6,54,77,55,77,59,75.2,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1
2019-07-12-09:22:11.621339,1,1,59,80.6,34,95,69,71.6,69,71.6,54,77,55,77,58,75.2,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1
2019-07-12-09:23:25.565173,1,1,59,80.6,34,95,67,71.6,65,71.6,55,77,55,77,58,75.2,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1
2019-07-12-09:24:36.948824,1,1,59,80.6,33,95,69,71.6,69,71.6,54,77,56,77,58,75.2,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1
2019-07-12-09:25:45.806236,1,1,59,82.4,33,95,69,71.6,69,71.6,54,77,54,77,58,75.2,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1
2019-07-12-09:27:04.819876,1,1,59,82.4,34,95,69,71.6,69,71.6,54,77,54,77,58,75.2,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1
2019-07-12-09:28:08.615374,1,1,58,80.6,34,95,69,71.6,162,51.8,54,77,155,53.6,58,75.2,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1
2019-07-12-09:29:14.954022,1,1,58,80.6,33,95,67,71.6,69,71.6,54,78.8,54,78.8,58,75.2,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1
2019-07-12-09:30:31.414761,1,1,58,80.6,34,96.8,67,71.6,68,71.6,54,78.8,54,78.8,58,75.2,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1
