Date/Time	Bedroom2-Bathroom_Door	Bedroom1-Livingroom_Door	Livingroom-Kitchen_Door	Livingroom-Bathroom_Door	Bedroom1-Bathroom_Door	N/A(Nothing)	Bedroom1-Back_Door	Livingroom-Front_Door	Bedroom1-2ft_Window	Livingroom-2ft_Window	Bedroom2-2ft_Window	Kitchen-2ft_Window	Bedroom2-3ft_Window	Livingroom-3ft_Window	Kitchen-3ft_Window	Bedroom1-3ft_Window	
2019-07-12 09:03:07.719576	closed	closed	closed	closed	closed	closed	closed	closed	closed	closed	closed	open	closed	closed	closed	open	
2019-07-12 09:08:08.435420	open	closed	closed	open	closed	open	closed	closed	closed	closed	closed	closed	open	closed	closed	open	
2019-07-12 09:13:09.151112	open	closed	closed	open	closed	open	closed	closed	open	closed	closed	open	closed	closed	closed	open	
2019-07-12 09:18:09.823001	closed	open	open	open	closed	closed	open	open	open	open	closed	closed	closed	closed	closed	open	
2019-07-12 09:23:10.468221	closed	closed	open	open	closed	closed	open	open	open	open	closed	closed	closed	open	closed	open	
2019-07-12 09:28:11.144990	open	closed	closed	open	open	closed	open	closed	closed	open	open	open	closed	open	closed	open	
2019-07-12 09:33:11.833135	open	open	closed	open	closed	closed	closed	closed	open	closed	closed	open	open	open	open	open	
2019-07-12 09:38:12.508337	closed	closed	closed	open	open	open	open	closed	open	open	open	open	closed	open	open	closed	
2019-07-12 09:43:13.180934	closed	open	closed	open	open	open	open	closed	open	open	closed	closed	closed	closed	open	closed	
2019-07-12 09:48:13.871114	closed	open	closed	open	open	closed	open	open	open	open	closed	closed	closed	closed	open	open	
2019-07-12 09:53:14.594545	closed	open	closed	closed	closed	closed	closed	closed	closed	open	closed	closed	closed	closed	open	open	
2019-07-12 09:58:15.233935	closed	open	closed	closed	closed	closed	open	closed	closed	open	closed	closed	closed	closed	open	open	
2019-07-12 10:03:15.884539	closed	closed	closed	closed	closed	closed	open	closed	closed	open	closed	closed	closed	closed	open	open	
2019-07-12 10:08:16.555929	open	closed	open	closed	closed	open	open	open	closed	open	closed	closed	closed	closed	open	closed	
2019-07-12 10:13:17.269124	closed	closed	closed	closed	closed	open	closed	closed	open	open	open	open	closed	closed	open	closed	
2019-07-12 10:18:17.964111	closed	open	open	closed	open	closed	closed	closed	open	open	open	closed	open	closed	open	closed	
2019-07-12 10:23:18.665877	closed	open	closed	closed	open	closed	open	closed	open	open	closed	closed	open	closed	open	closed	
2019-07-12 10:28:19.343748	open	closed	open	closed	closed	closed	open	open	open	open	closed	open	open	closed	closed	closed	
2019-07-12 10:33:20.004522	open	closed	open	closed	closed	closed	closed	open	open	open	open	open	open	closed	closed	closed	
2019-07-12 10:38:20.700041	open	closed	open	closed	closed	closed	open	open	open	open	open	open	closed	closed	closed	closed	
2019-07-12 10:43:21.398717	closed	open	closed	open	open	closed	open	open	closed	closed	open	closed	closed	closed	open	closed	
2019-07-12 10:48:22.086180	open	closed	closed	open	open	closed	open	closed	closed	closed	open	open	open	closed	open	closed	
2019-07-12 10:53:22.802818	open	closed	open	closed	closed	closed	open	open	closed	closed	open	open	open	closed	open	open	
2019-07-12 10:58:23.491584	open	open	open	closed	closed	open	open	open	open	closed	closed	open	closed	closed	open	closed	
2019-07-12 11:03:24.196441	open	closed	open	open	open	open	open	open	closed	open	closed	open	closed	closed	closed	closed	
2019-07-12 11:08:24.855996	open	open	closed	open	open	closed	open	open	closed	open	closed	open	closed	closed	closed	closed	
2019-07-12 11:13:25.430780	closed	open	closed	closed	open	closed	open	closed	closed	open	closed	closed	closed	closed	closed	open	
2019-07-12 11:18:26.017938	closed	open	closed	closed	open	closed	open	open	closed	open	closed	open	open	open	closed	open	
2019-07-12 11:23:26.569781	closed	open	closed	closed	open	closed	open	open	closed	open	closed	open	open	closed	closed	open	
2019-07-12 11:28:27.183107	open	open	closed	closed	closed	open	closed	closed	closed	closed	closed	closed	closed	open	closed	open	
2019-07-12 11:33:27.892072	open	open	closed	open	open	open	open	closed	open	closed	closed	open	closed	open	closed	open	
2019-07-12 11:38:28.576749	closed	open	open	open	closed	open	open	open	open	open	closed	closed	open	closed	closed	open	
2019-07-12 11:43:29.241627	closed	closed	open	closed	closed	open	open	open	open	closed	open	open	open	closed	closed	open	
2019-07-12 11:48:29.914297	closed	closed	open	open	closed	open	closed	open	open	open	open	open	open	closed	closed	open	
2019-07-12 11:53:30.663336	closed	open	open	open	open	open	closed	closed	open	open	open	open	open	closed	closed	open	
2019-07-12 11:58:31.363120	closed	closed	open	open	closed	open	open	closed	open	closed	closed	closed	open	closed	open	closed	
2019-07-12 12:03:32.027595	closed	open	closed	open	closed	open	open	closed	open	closed	closed	closed	open	closed	open	closed	
2019-07-12 12:08:32.740000	closed	closed	open	closed	closed	open	open	closed	open	closed	open	open	closed	open	open	closed	
2019-07-12 12:13:33.419878	open	open	closed	closed	closed	open	closed	open	open	closed	closed	open	open	open	open	closed	
2019-07-12 12:18:34.073920	open	open	open	closed	open	open	closed	closed	open	closed	closed	open	open	closed	open	closed	
2019-07-12 12:23:34.761408	open	open	closed	closed	closed	open	open	closed	open	closed	closed	open	open	closed	open	closed	
2019-07-12 12:28:35.532376	open	closed	closed	closed	closed	open	open	open	closed	open	open	open	open	closed	open	open	
2019-07-12 12:33:36.203268	closed	closed	closed	open	closed	open	open	open	closed	closed	open	open	open	closed	open	open	
2019-07-12 12:38:36.917102	closed	open	open	open	closed	closed	open	open	closed	closed	closed	open	closed	closed	closed	closed	
2019-07-12 12:43:37.625911	closed	open	open	open	closed	closed	open	open	closed	closed	open	open	open	closed	closed	closed	
2019-07-12 12:48:38.334462	open	open	open	open	closed	closed	closed	open	closed	closed	open	closed	open	closed	closed	closed	
2019-07-12 12:53:39.036202	closed	closed	open	open	closed	closed	open	closed	closed	closed	open	open	closed	open	closed	open	
2019-07-12 12:58:39.724561	closed	closed	open	open	open	closed	open	closed	closed	closed	open	open	closed	open	closed	open	
2019-07-12 13:03:40.390652	closed	closed	closed	open	open	open	open	closed	closed	closed	closed	open	closed	closed	closed	closed	
2019-07-12 13:08:40.939342	open	closed	closed	closed	closed	open	closed	closed	closed	closed	open	open	closed	open	closed	closed	
2019-07-12 13:13:41.484865	closed	closed	closed	closed	closed	open	closed	closed	closed	closed	open	open	closed	open	closed	closed	
2019-07-12 13:18:42.009315	closed	closed	closed	closed	closed	open	open	open	closed	closed	open	closed	closed	closed	closed	closed	
2019-07-12 13:23:42.585856	closed	closed	closed	closed	open	closed	open	closed	open	open	open	closed	open	closed	open	open	
2019-07-12 13:28:43.128900	open	closed	closed	open	closed	closed	closed	open	closed	open	open	closed	open	open	open	closed	
2019-07-12 13:33:43.666692	open	closed	open	closed	closed	closed	closed	open	closed	open	open	closed	open	closed	open	closed	
2019-07-12 13:38:44.202887	open	closed	closed	open	closed	closed	closed	open	closed	closed	open	closed	open	open	closed	open	
2019-07-12 13:43:44.709049	open	closed	closed	open	closed	closed	closed	open	open	open	open	closed	open	open	open	open	
2019-07-12 13:48:45.193486	open	closed	open	open	closed	closed	closed	closed	open	open	open	closed	open	open	open	open	
2019-07-12 13:53:45.759273	open	closed	open	closed	open	closed	open	open	closed	closed	closed	closed	open	closed	closed	closed	
2019-07-12 13:58:46.353810	closed	closed	closed	open	open	closed	open	closed	closed	closed	closed	closed	open	closed	open	open	
2019-07-12 14:03:46.886208	closed	open	open	open	open	closed	closed	closed	closed	closed	closed	closed	closed	open	open	open	
2019-07-12 14:08:47.436322	closed	open	open	open	open	closed	closed	open	open	closed	open	closed	closed	open	closed	open	
2019-07-12 14:13:47.963859	closed	open	open	closed	closed	closed	closed	open	closed	closed	open	open	open	open	open	open	
2019-07-12 14:18:48.486706	open	closed	open	closed	open	closed	closed	open	closed	open	closed	closed	open	open	open	closed	
2019-07-12 14:23:48.998914	open	closed	open	closed	open	closed	closed	open	closed	open	closed	closed	closed	open	open	closed	
2019-07-12 14:28:49.490108	open	closed	closed	closed	open	closed	closed	open	closed	closed	closed	closed	open	closed	open	open	
2019-07-12 14:33:50.032007	closed	open	closed	open	open	open	closed	closed	closed	open	closed	closed	open	closed	open	open	
2019-07-12 14:38:50.605272	closed	open	open	closed	closed	closed	open	open	closed	open	closed	closed	closed	closed	closed	closed	
2019-07-12 14:43:51.096053	closed	open	closed	open	open	closed	open	open	closed	open	open	closed	open	closed	closed	closed	
2019-07-12 14:48:51.620923	open	open	open	closed	closed	open	closed	open	closed	open	open	closed	closed	closed	open	open	
2019-07-12 14:53:52.115984	open	open	open	open	closed	open	closed	open	closed	open	closed	closed	closed	closed	open	open	
2019-07-12 14:58:52.641617	open	closed	open	open	closed	open	closed	open	closed	closed	open	closed	closed	closed	open	open	
2019-07-12 15:03:53.222845	open	closed	open	open	closed	open	closed	open	open	open	open	closed	closed	closed	open	closed	
2019-07-12 15:08:53.772282	open	open	closed	open	open	closed	open	closed	closed	open	open	closed	closed	closed	closed	closed	
2019-07-12 15:13:54.285306	closed	closed	closed	open	open	open	closed	closed	closed	open	open	closed	closed	open	closed	closed	
2019-07-12 15:18:54.803149	closed	closed	open	open	closed	open	open	closed	closed	open	open	closed	open	open	closed	closed	
2019-07-12 15:23:55.316800	closed	open	open	open	closed	closed	open	closed	closed	closed	open	closed	open	closed	closed	closed	
2019-07-12 15:28:55.845871	closed	closed	open	open	open	closed	open	closed	open	open	open	closed	open	open	open	closed	
2019-07-12 15:33:56.336875	open	open	open	open	open	open	open	closed	open	open	open	closed	open	open	open	closed	
2019-07-12 15:38:56.865263	open	open	open	closed	open	open	closed	open	closed	open	open	closed	open	closed	closed	open	
2019-07-12 15:43:57.396486	open	open	open	open	open	open	closed	closed	open	open	open	closed	open	closed	closed	open	
2019-07-12 15:48:57.899229	open	open	open	open	open	open	closed	open	open	open	open	closed	open	closed	closed	open	
2019-07-12 15:53:58.402847	open	open	closed	open	open	open	open	open	open	open	open	closed	closed	closed	closed	open	
2019-07-12 15:58:59.002765	open	closed	closed	closed	closed	open	open	closed	closed	open	open	closed	closed	open	open	open	
2019-07-12 16:03:59.559487	closed	closed	open	open	closed	closed	closed	closed	closed	open	open	open	closed	closed	open	closed	
2019-07-12 16:09:00.105948	open	open	closed	open	open	closed	open	closed	closed	closed	closed	closed	closed	closed	closed	closed	
2019-07-12 16:14:00.582686	open	open	closed	open	open	closed	open	closed	closed	open	closed	closed	closed	closed	closed	closed	
2019-07-12 16:19:01.075162	closed	open	closed	closed	open	closed	open	closed	closed	open	closed	closed	closed	open	open	closed	
2019-07-12 16:24:01.643411	closed	closed	open	open	open	closed	open	open	open	closed	open	closed	open	closed	closed	open	
