Date/Time	Bedroom2-Bathroom_Door	Bedroom1-Livingroom_Door	Livingroom-Kitchen_Door	Livingroom-Bathroom_Door	Bedroom1-Bathroom_Door	N/A(Nothing)	Bedroom1-Back_Door	Livingroom-Front_Door	Bedroom1-2ft_Window	Livingroom-2ft_Window	Bedroom2-2ft_Window	Kitchen-2ft_Window	Bedroom2-3ft_Window	Livingroom-3ft_Window	Kitchen-3ft_Window	Bedroom1-3ft_Window
2019-07-11 11:03:19.619062	closed	closed	closed	closed	closed	closed	closed	open	open	closed	closed	open	open	closed	open	closed	
2019-07-11 11:08:20.334253	closed	open	closed	open	closed	closed	closed	open	closed	closed	open	open	closed	closed	closed	open	
2019-07-11 11:13:21.112731	open	open	closed	open	closed	closed	closed	open	open	open	closed	closed	open	open	closed	open	
2019-07-11 11:18:21.832807	open	open	closed	closed	open	open	closed	open	open	open	closed	closed	open	open	open	closed	
2019-07-11 11:23:22.508719	open	open	closed	open	open	closed	closed	open	open	open	closed	closed	open	open	open	closed	
2019-07-11 11:28:23.188990	open	open	open	open	open	closed	closed	closed	open	closed	closed	closed	open	open	open	closed	
2019-07-11 11:33:23.957193	open	closed	open	closed	open	closed	closed	closed	closed	closed	open	closed	open	open	open	open	
2019-07-11 11:38:24.664200	open	closed	open	closed	open	open	open	closed	open	closed	closed	closed	closed	open	open	closed	
2019-07-11 11:43:25.338801	open	closed	open	closed	closed	open	open	closed	open	open	closed	open	closed	closed	open	open	
2019-07-11 11:48:26.034959	closed	closed	closed	closed	closed	open	closed	closed	open	closed	open	open	closed	closed	closed	open	
2019-07-11 11:53:26.708288	closed	open	open	closed	open	open	open	closed	open	closed	open	open	closed	closed	open	open	
2019-07-11 11:58:27.383341	open	open	open	closed	closed	open	closed	closed	open	closed	open	closed	closed	open	closed	open	
2019-07-11 12:03:28.078612	open	closed	open	closed	closed	open	closed	closed	open	closed	open	closed	closed	open	closed	closed	
2019-07-11 12:08:28.819087	open	open	open	open	closed	open	closed	closed	closed	closed	open	closed	open	open	open	closed	
2019-07-11 12:13:29.517986	open	closed	open	closed	closed	open	open	closed	closed	closed	closed	open	closed	open	closed	open	
2019-07-11 12:18:30.178458	open	open	open	closed	closed	open	open	closed	closed	closed	closed	open	closed	open	closed	open	
2019-07-11 12:23:30.852706	closed	open	open	closed	closed	closed	open	closed	open	closed	closed	open	closed	open	closed	closed	
2019-07-11 12:28:31.566960	closed	open	closed	closed	open	closed	open	closed	open	closed	closed	closed	open	closed	open	closed	
2019-07-11 12:33:32.241966	closed	open	closed	closed	open	closed	closed	closed	open	closed	closed	closed	open	closed	open	closed	
2019-07-11 12:38:32.914002	open	closed	closed	open	open	closed	open	open	open	closed	closed	open	closed	open	open	closed	
2019-07-11 12:43:33.614528	open	open	closed	open	open	closed	open	open	open	closed	open	closed	closed	closed	open	closed	
2019-07-11 12:48:34.325606	open	closed	closed	open	open	closed	open	open	open	closed	open	closed	closed	closed	open	closed	
2019-07-11 12:53:35.012368	open	closed	closed	closed	closed	closed	open	open	open	closed	open	closed	closed	open	closed	closed	
2019-07-11 12:58:35.761705	open	closed	open	closed	closed	open	closed	open	open	closed	open	open	closed	open	closed	closed	
2019-07-11 13:03:36.438934	closed	open	closed	closed	closed	closed	closed	open	open	closed	closed	open	open	closed	closed	closed	
2019-07-11 13:08:37.085796	closed	open	closed	closed	closed	closed	closed	closed	open	closed	closed	open	open	closed	closed	closed	
2019-07-11 13:13:37.763615	open	closed	open	open	closed	closed	open	closed	open	closed	closed	closed	open	closed	open	closed	
2019-07-11 13:18:38.442199	closed	closed	open	open	closed	open	open	open	open	closed	closed	closed	open	closed	closed	closed	
2019-07-11 13:23:39.095545	closed	closed	open	open	closed	closed	open	open	open	closed	closed	closed	closed	closed	closed	closed	
2019-07-11 13:28:39.821236	open	open	open	open	closed	closed	closed	closed	closed	open	closed	open	open	closed	closed	open	
2019-07-11 13:33:40.497193	closed	open	closed	open	open	open	open	closed	closed	closed	open	closed	open	closed	open	open	
2019-07-11 13:38:41.248201	open	open	closed	open	open	open	open	closed	closed	open	closed	closed	closed	closed	closed	open	
2019-07-11 13:43:41.913308	open	open	closed	open	open	open	open	open	open	closed	open	open	closed	closed	closed	open	
2019-07-11 13:48:42.589547	open	open	closed	closed	open	closed	closed	open	closed	closed	open	closed	closed	closed	open	open	
2019-07-11 13:53:43.327544	closed	open	closed	closed	open	closed	open	closed	closed	open	open	closed	closed	closed	open	open	
2019-07-11 13:58:44.047445	open	open	closed	closed	open	open	closed	closed	closed	closed	open	open	closed	closed	open	closed	
2019-07-11 14:03:44.776963	open	closed	closed	closed	closed	closed	closed	closed	closed	closed	open	open	closed	closed	open	open	
2019-07-11 14:08:45.443888	open	closed	closed	closed	open	closed	open	open	closed	open	open	open	closed	closed	open	closed	
